cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
190,3800.0,3040.0,380.0,380.0,8,60.06,60.06,60.06,61.8637950425,0.968846686224,48.2909552119,23.1564927164,0.331280296372,65.837151322,52.4574670541
190,3800.0,3040.0,380.0,380.0,8,145.6,18.2,18.2,14.6051896848,0.263151144546,10.9762343669,9.03083169283,0.12919644768,27.6734651255,14.777235296
190,3800.0,760.0,1520.0,1520.0,8,60.06,60.06,60.06,65.6556877388,1.24098552239,50.7703922906,23.2087462454,0.332027843281,68.7484122655,61.1804544181
190,3800.0,760.0,1520.0,1520.0,8,36.4,72.8,72.8,54.5417046856,1.07922277983,41.8302496824,20.2100888882,0.289128596398,53.1870765565,53.0331403571
190,3800.0,1520.0,1520.0,760.0,8,60.06,60.06,60.06,38.2373279754,0.752819053511,29.4789582535,16.8646354332,0.241268031948,39.9002904342,39.9200712671
190,3800.0,1520.0,1520.0,760.0,8,72.8,72.8,36.4,31.2654323707,0.58030708841,24.711649598,14.9713212332,0.214181991892,35.7210784106,35.1431241335
190,3800.0,1140.0,2280.0,380.0,8,60.06,60.06,60.06,27.2608642324,0.404794266787,22.8668819903,13.8004484153,0.197431307802,33.9746631761,32.1147874012
190,3800.0,1140.0,2280.0,380.0,8,54.6,109.2,18.2,21.1450348821,0.36334071536,17.3820468366,12.3484971611,0.176659472977,30.6472846752,25.6424919319
200,3800.0,380.0,1140.0,2280.0,8,63.36,63.36,63.36,94.5955302205,1.56694136037,74.5805569682,26.283054517,0.376009363619,96.1991044543,73.8641790017
200,3800.0,380.0,1140.0,2280.0,8,19.2,57.6,115.2,76.4053622146,1.64580684421,54.9790330437,23.7841797524,0.340260082294,69.4906531343,66.12866016
200,3800.0,2280.0,1140.0,380.0,8,63.36,63.36,63.36,51.8248606713,0.860199659865,40.8051879356,20.2454566968,0.28963457363,61.1452906609,50.8598003901
200,3800.0,2280.0,1140.0,380.0,8,115.2,57.6,19.2,21.6421927314,0.393354429321,16.9762027079,13.0893268871,0.187257895381,32.6686619548,28.7308981487
200,3800.0,1900.0,1520.0,380.0,8,63.36,63.36,63.36,33.9097466451,0.576522661881,27.1755793273,16.2772795118,0.232865229067,36.4943259028,36.796868327
200,3800.0,1900.0,1520.0,380.0,8,96.0,76.8,19.2,26.7642659269,0.460146678281,21.5650024872,13.6667675914,0.195518849663,34.6343929936,31.1210895245
200,3800.0,1330.0,1330.0,1140.0,8,63.36,63.36,63.36,72.5842312893,1.26801719325,57.552072933,23.0209275328,0.329340880298,80.9562238368,59.4573179796
200,3800.0,1330.0,1330.0,1140.0,8,67.2,67.2,57.6,50.6142367066,0.937323326667,39.4154153224,19.2591031388,0.275523650055,55.0417636147,52.6885820386
200,3800.0,3040.0,380.0,380.0,8,63.36,63.36,63.36,64.95425796,0.993914520346,50.668776266,24.4427408545,0.349681557289,69.6659700437,53.5027870635
200,3800.0,3040.0,380.0,380.0,8,153.6,19.2,19.2,17.4375689529,0.286280837503,13.8298755178,9.62040012088,0.137630903017,29.602539703,17.0299164332
